Exam1,Exam2,Admitted
80.0,12.0,0
73.0,13.0,0
70.0,18.0,0
69.0,18.0,0
68.0,11.0,0
65.0,18.0,0
63.0,13,0
62.0,13.0,0
57.0,,0
57.0,14.0,0
56.0,13.0,0
55.0,11.0,1
54.0,14.0,0
54.0,13.0,0
54.0,14.0,0
49.0,10.0,1
48.0,7.0,0
48.0,19.0,0
44.0,16.0,0
43.0,12.0,0
43.0,12.0,0
42.0,16.0,0
,12.0,0
,13.0,0
,10.0,0
,16.0,0
83.0,,1
88.0,,1
85.0,,1
70.0,,1
80.0,12.0,1
79.0,18.0,1
79.0,18.0,1
78.0,17.0,1
77.0,17.0,1
77.0,,1
76.0,16.0,1
71.0,12.0,1
71.0,14.0,1
71.0,12.0,1
71.0,14.0,1
70.0,19.0,1
70.0,12.0,1
70.0,14.0,1
66.0,,1
64.0,18.0,1
64.0,16.0,1
62.0,19.0,1
61.0,18.0,1
60.0,14.0,1
59.0,17.0,1
58.0,19.0,1
57.0,18.0,1
50.0,19.0,0
47.0,13.0,1
46.0,20.0,1
44.0,19.0,1
,18.0,1
,15.0,1
,16.0,1
